0,potato,vegetable,B,Potassium,,2016-04-11 19:06:01.680346,2016-04-11 19:06:01.680346
1,onion,vegetable,B,Phosphorus,,2016-04-11 19:06:01.680347,2016-04-11 19:06:01.680347
2,tomato,vegetable,C,Potassium,,2016-04-11 19:06:01.680348,2016-04-11 19:06:01.680348
3,chillies,vegetable,E,Iron,,2016-04-11 19:06:01.680349,2016-04-11 19:06:01.680349
4,cabbage,vegetable,K,Potassium,,2016-04-11 19:06:01.680350,2016-04-11 19:06:01.680350
5,cauliflower,vegetable,C,Phosphorus,,2016-04-11 19:06:01.680351,2016-04-11 19:06:01.680351
6,broccoli,vegetable,B,Phosphorus,,2016-04-11 19:06:01.680352,2016-04-11 19:06:01.680352
7,green beans,vegetable,K,Magnesium,,2016-04-11 19:06:01.680353,2016-04-11 19:06:01.680353
8,eggplant,vegetable,Fiber,Potassium,,2016-04-11 19:06:01.680354,2016-04-11 19:06:01.680354
9,bell peppers,vegetable,A,Potassium,,2016-04-11 19:06:01.680355,2016-04-11 19:06:01.680355
10,green peas,vegetable,K,Phosphorus,,2016-04-11 19:06:01.680356,2016-04-11 19:06:01.680356
11,corn,vegetable,B,Phosphorus,,2016-04-11 19:06:01.680357,2016-04-11 19:06:01.680357
12,radish,vegetable,C,Potassium,,2016-04-11 19:06:01.680358,2016-04-11 19:06:01.680358
13,spinach,vegetable,A,Magnesium,,2016-04-11 19:06:01.680359,2016-04-11 19:06:01.680359
14,lettuce,vegetable,B,Potassium,,2016-04-11 19:06:01.680360,2016-04-11 19:06:01.680360
15,carrots,vegetable,A,Potassium,,2016-04-11 19:06:01.680361,2016-04-11 19:06:01.680361
16,cucumber,vegetable,K,Potassium,,2016-04-11 19:06:01.680362,2016-04-11 19:06:01.680362
17,squash,vegetable,A,Potassium,,2016-04-11 19:06:01.680363,2016-04-11 19:06:01.680363
18,brussel sprouts,vegetable,K,Potassium,,2016-04-11 19:06:01.680364,2016-04-11 19:06:01.680364
19,beetroot,vegetable,C,Potassium,,2016-04-11 19:06:01.680365,2016-04-11 19:06:01.680365
20,apple,fruit,Fiber,Potassium,,2016-04-11 19:06:01.680366,2016-04-11 19:06:01.680366
21,pear,fruit,Fiber,Potassium,,2016-04-11 19:06:01.680367,2016-04-11 19:06:01.680367
22,avocado,fruit,K,Potassium,,2016-04-11 19:06:01.680368,2016-04-11 19:06:01.680368
23,sweet lime,fruit,C,,,2016-04-11 19:06:01.680369,2016-04-11 19:06:01.680369
24,orange,fruit,C,Potassium,,2016-04-11 19:06:01.680370,2016-04-11 19:06:01.680370
25,banana,fruit,B,Potassium,,2016-04-11 19:06:01.680371,2016-04-11 19:06:01.680371
26,kiwi,fruit,C,Potassium,,2016-04-11 19:06:01.680372,2016-04-11 19:06:01.680372
27,grapes,fruit,K,Trace Minerals,,2016-04-11 19:06:01.680373,2016-04-11 19:06:01.680373
28,watermelon,fruit,C,Potassium,,2016-04-11 19:06:01.680374,2016-04-11 19:06:01.680374
29,muskmelon,fruit,C,Potassium,,2016-04-11 19:06:01.680375,2016-04-11 19:06:01.680375
30,pineapple,fruit,C,Trace Minerals,,2016-04-11 19:06:01.680376,2016-04-11 19:06:01.680376
31,blackberry,fruit,C,Trace Minerals,,2016-04-11 19:06:01.680377,2016-04-11 19:06:01.680377
32,blueberry,fruit,K,Trace Minerals,,2016-04-11 19:06:01.680378,2016-04-11 19:06:01.680378
33,raspberry,fruit,C,Magnesium,,2016-04-11 19:06:01.680379,2016-04-11 19:06:01.680379
34,strawberry,fruit,C,Potassium,,2016-04-11 19:06:01.680380,2016-04-11 19:06:01.680380
35,peach,fruit,C,Potassium,,2016-04-11 19:06:01.680381,2016-04-11 19:06:01.680381
36,apricot,fruit,C,Potassium,,2016-04-11 19:06:01.680382,2016-04-11 19:06:01.680382
37,olives,fruit,E,Iron,,2016-04-11 19:06:01.680383,2016-04-11 19:06:01.680383
38,White rice,carbohydrate,,,,2016-04-11 19:06:01.680384,2016-04-11 19:06:01.680384
39,Brown rice,carbohydrate,,,,2016-04-11 19:06:01.680385,2016-04-11 19:06:01.680385
40,Whole wheat rotis,carbohydrate,,,,2016-04-11 19:06:01.680386,2016-04-11 19:06:01.680386
41,Idli,carbohydrate,,,,2016-04-11 19:06:01.680387,2016-04-11 19:06:01.680387
42,Poha,carbohydrate,,,,2016-04-11 19:06:01.680388,2016-04-11 19:06:01.680388
43,Pasta,carbohydrate,,,,2016-04-11 19:06:01.680389,2016-04-11 19:06:01.680389
44,Whole wheat bread,carbohydrate,,,,2016-04-11 19:06:01.680390,2016-04-11 19:06:01.680390
45,Cereal,carbohydrate,,,,2016-04-11 19:06:01.680391,2016-04-11 19:06:01.680391
46,Noodles,carbohydrate,,,,2016-04-11 19:06:01.680392,2016-04-11 19:06:01.680392
47,Upma,carbohydrate,,,,2016-04-11 19:06:01.680393,2016-04-11 19:06:01.680393
48,Dhokla,carbohydrate,,,,2016-04-11 19:06:01.680394,2016-04-11 19:06:01.680394
49,Dosa,carbohydrate,,,,2016-04-11 19:06:01.680395,2016-04-11 19:06:01.680395
50,Lentils,protein,,,,2016-04-11 19:06:01.680396,2016-04-11 19:06:01.680396
51,Tofu,protein,,,,2016-04-11 19:06:01.680397,2016-04-11 19:06:01.680397
52,Soya bean,protein,,,,2016-04-11 19:06:01.680398,2016-04-11 19:06:01.680398
53,Yoghurt,protein,,,calcium,2016-04-11 19:06:01.680399,2016-04-11 19:06:01.680399
54,Chickpeas,protein,,,,2016-04-11 19:06:01.680400,2016-04-11 19:06:01.680400
55,Paneer,protein,,,,2016-04-11 19:06:01.680401,2016-04-11 19:06:01.680401
56,Canned beans,protein,,,,2016-04-11 19:06:01.680402,2016-04-11 19:06:01.680402
57,Dry Fruits,fat,,,,2016-04-11 19:06:01.680403,2016-04-11 19:06:01.680403
58,Peanuts,fat,,,,2016-04-11 19:06:01.680404,2016-04-11 19:06:01.680404
59,Dark Chocolate,fat,,,,2016-04-11 19:06:01.680405,2016-04-11 19:06:01.680405
60,Cheese,fat,,,,2016-04-11 19:06:01.680406,2016-04-11 19:06:01.680406
61,Cooking Oil,fat,,,,2016-04-11 19:06:01.680407,2016-04-11 19:06:01.680407
62,Tempeh,other,,,B12,2016-04-11 19:06:01.680408,2016-04-11 19:06:01.680408
63,Milk,other,,,D,2016-04-11 19:06:01.680409,2016-04-11 19:06:01.680409
64,Iodized salt,other,,,Iodine,2016-04-11 19:06:01.680410,2016-04-11 19:06:01.680410
65,Sunlight,other,,,D,2016-04-11 19:06:01.680411,2016-04-11 19:06:01.680411
66,Calcium supplement,other,,,Calcium,2016-04-11 19:06:01.680412,2016-04-11 19:06:01.680412
67,Flax Seeds,other,,,Omega 3,2016-04-11 19:06:01.680413,2016-04-11 19:06:01.680413
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
